brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
11six24,Vapor Power2,209.99,672,5.5,16,4.125,Hybrid,HexGrit,Full foam,111,6.67, 2020
11six24,Alpha Pro Power Hurache-X,199,599,6,16,4.125,Elongated,"Carbon Fiber,Fiberglass",Polymer Honeycomb,113.57,6.14,
11six24,Alpha Pro Power Pegasus,199,598,5.5,16,4.125,Wide body,"Carbon Fiber,Fiberglass",Polymer Honeycomb,106.6,7.12,
11six24,Alpha Pro Power Vapor,199,597,5.75,16,4.125,Hybrid,"Carbon Fiber,Fiberglass",Polymer Honeycomb,109.08,6.48,
11six24,Power Hurache-X 16mm,169.99,525,5.75,16,4.125,Elongated,"Raw carbon fiber,Fiberglass",Polymer Honeycomb,117,6.25,
11six24,Power Vapor 16mm,169.99,524,5.75,16,4.125,Wide body,"Raw carbon fiber,Fiberglass",Polymer Honeycomb,113,6.74,
11six24,Power Pegasus 16mm,169.99,523,5.75,16,4.125,Wide body,"Raw carbon fiber,Fiberglass",Polymer Honeycomb,107,7.21,
11six24,All Court Hurache-X 16mm,139.99,501,6,16,4.125,Elongated,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,118,6.21,
11six24,All Court Vapor 16mm,139.9,500,5.75,16,4.125,Hybrid,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,117,6.76,
11six24,Jelly Bean Hurache-X 16mm,99.99,499,6,16,4.125,Elongated,"Raw carbon fiber,Fiberglass",Polymer Honeycomb,115,6.03,
11six24,Jelly Bean Vapor 16mm,99.99,498,5.75,16,4.125,Hybrid,"Raw carbon fiber,Fiberglass",Polymer Honeycomb,114,6.7,
11six24,All Court Pegasus 16mm,139.99,414,5.75,16,4.125,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,114,7.22,
11six24,Jelly Bean Pegasus 16mm,99.99,413,5.75,16,4.125,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,112,7.29,
